FirmTicker,IPO_JDate
فرود,1401-04-14
تپسی,1401-03-24
کایزد,1401-03-11
فغدیر,1401-03-04
تماوند,1401-02-27
ددانا,1401-02-26
فروسیل,1401-02-21
حگهر,1401-02-20
فزر,1400-11-20
وامیر,1400-11-17
تجلی,1400-11-02
سغدیر,1400-09-20
كارا,1400-07-17
شکام,1400-06-30
فسبزوار,1400-06-24
توسن,1400-06-24
حآفرین,1400-06-22
فجهان,1400-06-20
کیمیاتک,1400-06-17
مدیریت,1400-05-20
ویسا,1400-05-18
وفتخار,1400-05-17
وهامون,1400-05-06
سپید,1400-04-23
گنگین,1400-04-09
لطیف,1400-04-02
ومدیر,1400-03-26
ولکار,1400-03-19
غکورش,1400-03-05
فتوسا,1400-02-29
فگستر,1400-02-22
اپال,1399-12-06
کزغال,1399-11-15
سپیدار,1399-10-17
وکبهمن,1399-09-19
بوعلی,1399-09-19
چخزر,1399-09-12
غصینو,1399-08-11
جوین,1399-08-07
خلیبل,1399-07-08
وسپهر,1399-07-02
کیا,1399-06-19
ثامید,1399-06-19
بپیوند,1399-06-12
گدنا,1399-05-29
ثبهساز,1399-05-22
زملارد,1399-05-22
شاروم,1399-05-15
امین,1399-05-15
غزر,1399-05-08
بگیلان,1399-05-08
آبادا,1399-05-01
رافزا,1399-04-25
ولپارس,1399-04-18
سیتا,1399-04-11
وپویا,1399-04-04
آریا,1399-03-07
پیزد,1399-02-31
غگیلا,1399-02-10
شستا,1399-01-27
شساخت,1399-01-26
صبا,1399-01-20
زکوثر,1398-12-21
ساوه,1398-12-21
شگویا,1398-12-17
شصدف,1398-12-14
تملت,1398-12-14
قرن,1398-11-30
ومهان,1398-11-21
کلر,1398-11-16
فروی,1398-11-08
وآوا,1398-08-01
خبازرس,1398-07-29
دتوزیع,1398-07-21
کویر,1398-07-17
بجهرم,1398-07-03
وهنر,1398-06-26
غنيلي,1398-06-16
غبهار,1398-06-13
رنیک,1398-06-13
فسازان,1398-05-28
هجرت,1398-05-19
ثجوان,1398-05-19
نوری,1398-04-22
غویتا,1398-04-17
درهآور,1398-04-12
سیمرغ,1398-04-02
جم پیلن,1398-03-27
نکالا,1398-03-22
دکپسول,1398-03-05
زشریف,1398-02-31
